사용 가능 API,Method,Entry Point,Description,상태,텍스트
No,POST,/users/signup,회원가입,시작 전,
No,POST,/users/login,로그인,시작 전,
No,POST,/users/coldstart/nickname,콜드스타트 - 닉네임 설정,시작 전,
No,POST,/users/coldstart/profile_info,콜드스타트 - 추가 정보 입력,시작 전,
No,POST,/users/coldstart/tags,콜드스타트 - 관심 태그 설정,시작 전,
No,POST,/users/coldstart/books,콜드스타트 - 관심 책 설정,시작 전,
No,GET,/users/{userId},프로필 조회,시작 전,
No,DELETE,/users/logout,로그아웃,시작 전,
No,DELETE,/users/resign,회원탈퇴,시작 전,
No,PATCH,/users/nickname,닉네임 변경,시작 전,
No,PATCH,/users/profilepic,프로필 사진 변경,시작 전,
No,PATCH,/users/public,"프로필 공개 여부 변경 ",시작 전,
No,GET,/users/hightlights,내가 친 하이라이트 조회,시작 전,
No,GET,/users/booklist?q={…},‘좋아요’한 도서/최근 읽은 도서 조회,시작 전,
No,GET,/users/book,내 서재 도서 조회,시작 전,
No,DELETE,/users/book/{isbn},내 서재 도서 삭제,시작 전,
No,GET,/users/wish,"내 찜한 도서  조회 ",시작 전,
No,POST,/users/wish/{isbn},내 찜한 도서 추가,시작 전,
No,DELETE,/users/wish/{isbn},"내 찜한 도서 삭제 ",시작 전,